"file","ids_tags","url_tags","styles_tags","translate_scale_tag"
"mean_enrichment--T0--cell--label-y_pc.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-med-L-Tryptophan.svg",TRUE,TRUE,TRUE,TRUE
"bars_med_Glycine-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"abundances--T0--cell_var.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-cell-Hexose-phosphate.svg",TRUE,TRUE,TRUE,TRUE
"Isotopologues_med-Hexose.svg",TRUE,TRUE,TRUE,TRUE
"bars_med_L-Tryptophan-total_abundance.svg",TRUE,TRUE,TRUE,TRUE
"abundances--T0--cell--label-y_pc.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment--T2h--cell_var.svg",TRUE,TRUE,TRUE,TRUE
"mean_enrichment-med-L-Asparagine.svg",TRUE,TRUE,TRUE,TRUE
